loc,FMP_SUBAREA
-132.333333333333_54.3333333333333,SE
-132.666666666667_54.3333333333333,SE
-132_54.3333333333333,SE
-133.666666666667_54.3333333333333,SE
-133.666666666667_54.6666666666667,SE
-133_54.3333333333333,SE
-134.333333333333_54.3333333333333,SE
-134.333333333333_54.6666666666667,SE
-134.333333333333_55,SE
-134.333333333333_55.3333333333333,SE
-134.333333333333_55.6666666666667,SE
-134.666666666667_54.6666666666667,SE
-134.666666666667_55,SE
-134.666666666667_55.3333333333333,SE
-134.666666666667_56,SE
-134_54,SE
-134_54.3333333333333,SE
-134_54.6666666666667,SE
-134_55.6666666666667,SE
-135.333333333333_55.3333333333333,SE
-135.333333333333_55.6666666666667,SE
-135.333333333333_56,SE
-135.333333333333_56.3333333333333,SE
-135.666666666667_55.6666666666667,SE
-135.666666666667_56,SE
-135.666666666667_56.3333333333333,SE
-135.666666666667_56.6666666666667,SE
-135_55,SE
-135_55.3333333333333,SE
-135_55.6666666666667,SE
-135_56,SE
-136.333333333333_56,SE
-136.333333333333_56.6666666666667,SE
-136.333333333333_57,SE
-136.333333333333_57.3333333333333,SE
-136.666666666667_56.6666666666667,SE
-136.666666666667_57,SE
-136.666666666667_57.3333333333333,SE
-136.666666666667_57.6666666666667,SE
-136.666666666667_58,SE
-136_56,SE
-136_56.3333333333333,SE
-136_56.6666666666667,SE
-136_57,SE
-136_57.3333333333333,SE
-137.333333333333_57.3333333333333,SE
-137.333333333333_57.6666666666667,SE
-137.333333333333_58,SE
-137.666666666667_57.6666666666667,SE
-137.666666666667_58,SE
-137_56.6666666666667,SE
-137_57.3333333333333,SE
-137_57.6666666666667,SE
-137_58,SE
-138.333333333333_57.6666666666667,SE
-138.333333333333_58,SE
-138.333333333333_58.3333333333333,SE
-138.333333333333_58.6666666666667,SE
-138.666666666667_58,SE
-138.666666666667_58.3333333333333,SE
-138.666666666667_58.6666666666667,SE
-138_57.6666666666667,SE
-138_58,SE
-138_58.3333333333333,SE
-139.333333333333_58,SE
-139.333333333333_58.3333333333333,SE
-139.666666666667_58,SE
-139.666666666667_58.3333333333333,SE
-139.666666666667_59.3333333333333,SE
-139_58,SE
-139_58.3333333333333,SE
-140.333333333333_58.3333333333333,WY
-140.333333333333_58.6666666666667,WY
-140.333333333333_59,WY
-140.333333333333_59.3333333333333,WY
-140.666666666667_58.3333333333333,WY
-140.666666666667_58.6666666666667,WY
-140.666666666667_59,WY
-140_58.3333333333333,SE
-140_58.6666666666667,WY
-140_59,SE
-140_59.3333333333333,SE
-140_59.6666666666667,WY
-141.333333333333_58.6666666666667,WY
-141.333333333333_59,WY
-141.333333333333_59.3333333333333,WY
-141.666666666667_57,WY
-141.666666666667_58.6666666666667,WY
-141.666666666667_59,WY
