"vessel","vessel_length"
"A005",183
"A015",86
"A006",180
"A036",238
"A017",66
"A054",334
"A041",341
"A040",91
"A072",203
"A095",135
"A083",124
"A153",124
"A091",240
"A258",138
"A289",132
"A119",236
"A100",135
"A107",135
"A080",336
"A262",285
"A129",74
"A280",180
"A101",71
"A188",124
"A225",304
"A152",108
"A151",123
"A110",219
"A202",93
"A259",68
"A211",65
"A236",77
"A210",69
"A174",63
"A164",80
"A183",80
"A314",94
"A296",79
"A582",90
"A492",132
"A271",83
"A347",86
"A587",106
"A244",68
"A321",80
"A332",70
"A168",81
"A257",60
"A340",94
"A482",104
"A499",132
"A546",118
"A312",136
"A529",72
"A527",66
"A533",70
"A536",76
"A569",135
"A542",100
"A577",62
"A477",124
"A472",90
"A460",101
"A442",103
"A437",108
"A441",102
"A384",80
"A386",99
"A393",46
"A385",145
"A405",73
"A429",94
"A415",110
"A423",100
"A401",65
"A395",65
"A628",104
"A365",66
"A634",60
"A635",105
"A677",124
"A154",100
"A686",82
"A695",103
"A153",128
"A713",58
"62288",58
"76769",58
"59121",53
"89173",58
"34512",57
"A182",59
"56390",42
"A245",59
"35632",59
"50308",53
"O76319",58
"26020",58
"28268",56
"77234",45
"31159",46
"56169",54
"53170",40
"33004",112
"32378",47
"43565",50
"O60857",54
"27699",47
"40273",57
"56187",50
"57800",42
"67610",56
"31438",41
"10635",58
"27013",48
"57820",42
"58060",42
"42612",43
"77923",58
"61800",47
"61056",58
"65420",46
"40961",58
"A439",117
"53375",50
"78139",169
"62925",58
"18402",50
"49319",47
"23081",49
"26246",40
"56249",42
"38923",107
"41236",38
"77765",49
"78702",78
"A440",102
"76336",58
"51030",44
"A010",123
"A007",162
"A035",117
"A022",123
"A020",96
"A045",270
"A061",125
"A051",97
"A103",186
"A159",90
"A295",118
"A285",125
"A134",105
"A297",149
"A277",166
"A175",56
"A235",110
"A182",62
"A139",100
"A086",95
"A158",97
"A097",166
"A131",87
"A214",80
"A154",88
"A240",108
"A249",63
"A197",66
"A260",65
"A198",71
"A186",63
"A333",89
"A308",132
"A193",92
"A493",91
"A270",66
"A351",141
"A330",71
"A573",98
"A328",70
"A334",97
"A323",87
"A446",84
"A339",86
"A575",88
"A454",91
"A555",166
"A579",50
"A521",69
"A406",68
"A508",78
"A486",123
"A359",150
"A506",103
"A484",114
"A498",126
"A355",180
"A537",90
"A526",78
"A540",80
"A547",156
"A532",85
"A539",66
"A522",114
"A504",116
"A467",90
"A451",93
"A443",101
"A455",110
"A390",135
"A413",110
"A425",110
"A420",72
"A433",82
"A431",105
"A411",78
"A399",72
"A396",103
"A407",126
"A620",106
"A624",102
"A647",100
"A650",79
"A656",174
"A657",98
"A673",120
"A456",110
"A440",101
"A625",110
"A155",73
"A381",119
"A283",166
"A710",105
"A057",128
"O77184",47
"20162",58
"36487",48
"45211",58
"75465",48
"13437",58
"15532",58
"57469",58
"60299",54
"15369",46
"68008",58
"76584",58
"10167",58
"37431",56
"69625",58
"24592",58
"14796",52
"55741",58
"48866",40
"19245",58
"58727",57
"75458",56
"29869",48
"55949",40
"77897",58
"63489",47
"57986",55
"74788",56
"40132",44
"51047",49
"54846",42
"45416",48
"13",48
"19866",41
"18463",56
"45842",53
"O66360",43
"58077",42
"50908",45
"31809",50
"59771",57
"53349",58
"O75145",52
"78187",42
"60840",42
"O19495",49
"60225",44
"77916",57
"A091",300
"17948",58
"53570",54
"20248",49
"47911",58
"O74786",54
"54953",45
"57850",42
"46701",59
"57659",42
"19500",49
"77769",49
"61273",44
"O70745",40
"32862",56
"54402",43
"53535",48
"41541",44
"74772",74
"A692",83
"A001",201
"A004",155
"A012",94
"A029",58
"A030",245
"A018",75
"A019",188
"A026",79
"A031",124
"A028",58
"A046",204
"A050",295
"A062",155
"A079",96
"A044",193
"A049",107
"A038",122
"A255",305
"A276",230
"A123",123
"A132",123
"A264",227
"A096",132
"A108",215
"A237",155
"A112",73
"A282",341
"A135",73
"A090",635
"A156",90
"A089",78
"A113",77
"A220",78
"A148",130
"A242",61
"A231",70
"A196",66
"A218",65
"A209",68
"A245",62
"A253",63
"A217",65
"A279",123
"A167",124
"A342",114
"A553",135
"A567",77
"A557",110
"A551",65
"A320",58
"A565",84
"A561",75
"A311",180
"A505",96
"A500",172
"A512",141
"A528",73
"A541",92
"A356",85
"A531",82
"A543",65
"A485",126
"A469",133
"A474",116
"A464",120
"A440",100
"A456",92
"A404",101
"A383",101
"A489",70
"A421",111
"A410",111
"A428",134
"A448",110
"A400",90
"A418",114
"A636",98
"A618",111
"A641",88
"A644",110
"A665",105
"A666",100
"A669",108
"A441",103
"A308",133
"A145",165
"A694",117
"A219",87
"A631",102
"A285",124
"A459",124
"A490",108
"A698",78
"A650",78
"A703",58
"A708",115
"A545",107
"A315",99
"A714",57
"75679",51
"40762",58
"61802",58
"45140",58
"28266",59
"45399",58
"61679",58
"25187",58
"9185",58
"37908",44
"57843",58
"44450",54
"A642",135
"A716",136
"40129",58
"73777",54
"19359",58
"32373",58
"55900",54
"30587",58
"42892",58
"40252",57
"59771",58
"77211",56
"41022",58
